  id   |                           character                           | order_of_appearance | movie_id | person_ext_id 
 24795 | Man 2                                                         |                  18 |     3307 |         10112
 24796 | Glenn                                                         |                   8 |     3307 |       1263622
 24797 | Police Officer 4                                              |                  15 |     3307 |        189445
 24798 | Lady 3                                                        |                   4 |     3307 |          1564
 24799 | Military Man                                                  |                  16 |     3307 |       1388917
 24800 | Little Old Lady                                               |                  12 |     3307 |       2038583
 24801 | Female Student                                                |                  11 |     3307 |        128656
 24802 | Ed - Police Officer 2                                         |                   9 |     3307 |         25438
 24803 | Rob                                                           |                  22 |     3307 |       1395428
 24804 | Sonny                                                         |                   7 |     3307 |       1211845
 24805 | S.P.                                                          |                  21 |     3307 |          1715
 24806 | Charon (uncredited)                                           |                  24 |     3307 |       3778684
 24807 | Al                                                            |                   6 |     3307 |          4654
 24808 | Peter                                                         |                  17 |     3308 |       1170692
 24809 | Danish Soldier                                                |                  21 |     3308 |       1518004
 24810 | Sebastian Schumann                                            |                   1 |     3308 |       1037348
 24811 | Officer Garth                                                 |                  20 |     3308 |       1041210
 24812 | Officer Givens                                                |                  19 |     3308 |       1048560
 24813 | Manfred                                                       |                   9 |     3308 |         41276
 24814 | Lt. Ebbe Jensen                                               |                   2 |     3308 |       1013156
 24815 | Helmut Morbach                                                |                   3 |     3308 |        223477
 24816 | Friedrich Schnurr                                             |                  13 |     3308 |       1546093
 24817 | Rudolf Selke                                                  |                  11 |     3308 |       1546091
 24818 | Ludwig Haffke                                                 |                   5 |     3308 |        569353
 24819 | Johann Wolff                                                  |                  14 |     3308 |       1546094
 24820 | Gustav Becker                                                 |                  15 |     3308 |       1521863
 24821 | August Kluger                                                 |                  10 |     3308 |       1546090
 24822 | Sgt. Carl Rasmussen                                           |                   0 |     3308 |        141876
 24823 | Ernst Lessner                                                 |                   6 |     3308 |       1546087
 24824 | Karin                                                         |                   4 |     3308 |         34867
 24825 | Wilhelm Hahn                                                  |                   8 |     3308 |        992126
 24826 | Danish Sergeant                                               |                  22 |     3308 |        135757
 24827 | Hermann Marklein                                              |                  12 |     3308 |       1546092
 24828 | Albert Bewer                                                  |                  16 |     3308 |        119068
 24829 | Nurse Lone Nielsen                                            |                  18 |     3308 |       1293152
 24830 | Werner Lessner                                                |                   7 |     3308 |       1546089
 24857 | Master Wu / Mr. Liu (voice)                                   |                   8 |     3311 |         18897
 24858 | Additional Voices (voice)                                     |                  28 |     3311 |       3401928
 24859 | Retirement General (voice)                                    |                  12 |     3311 |       1536584
 24860 | Additional Voices (voice)                                     |                  26 |     3311 |       1397042
 24861 | Additional Voices (voice)                                     |                  31 |     3311 |       4209614
 24862 | Michael Strahan (voice)                                       |                  23 |     3311 |       1223082
 24863 | Additional Voices (voice)                                     |                  40 |     3311 |       2136776
 24864 | Ninja Computer (voice)                                        |                  10 |     3311 |       2639872
 24865 | Nya (voice)                                                   |                   3 |     3311 |       1325731
 24866 | General Olivia (voice)                                        |                  11 |     3311 |        591835
 24867 | Additional Voices (voice)                                     |                  45 |     3311 |         57638
 24868 | General Jolly (voice)                                         |                  14 |     3311 |       1370757
 24869 | Additional Voices (voice)                                     |                  29 |     3311 |       4209612
 24870 | Additional Voices (voice)                                     |                  30 |     3311 |       4209613
 24871 | Additional Voices (voice)                                     |                  47 |     3311 |        936668
 24872 | Additional Voices (voice)                                     |                  34 |     3311 |       1106862
 24873 | Additional Voices (voice)                                     |                  33 |     3311 |         68636
 24874 | Maggie the Cheerleader (voice)                                |                  19 |     3311 |         75318
 24875 | Radio DJ (voice)                                              |                  20 |     3311 |         27738
 24876 | Mayor (voice)                                                 |                  24 |     3311 |        206444
 24877 | Additional Voices (voice)                                     |                  35 |     3311 |       2096808
 24878 | Additional Voices (voice)                                     |                  48 |     3311 |       1832032
 24879 | Additional Voices (voice)                                     |                  49 |     3311 |       2736569
 24880 | Additional Voices (voice)                                     |                  43 |     3311 |       4181634
 24881 | Additional Voices (voice)                                     |                  41 |     3311 |       1747562
 24882 | Jay (voice)                                                   |                   5 |     3311 |        466505
 24883 | Kai (voice)                                                   |                   6 |     3311 |           454
 24884 | Additional Voices (voice)                                     |                  32 |     3311 |       4209615
 24885 | Additional Voices (voice)                                     |                  44 |     3311 |       1736884
 24886 | Ms. Laudita (voice)                                           |                  17 |     3311 |         61409
 24887 | Lloyd (voice)                                                 |                   0 |     3311 |         54697
 24888 | General Omar (voice)                                          |                  13 |     3311 |       1370753
 24889 | Terri IT Nerd (voice)                                         |                  15 |     3311 |         93285
 24890 | Pilates Studio Owner (voice)                                  |                  21 |     3311 |        198149
 24891 | Additional Voices (voice)                                     |                  36 |     3311 |       2136823
 24892 | Additional Voices (voice)                                     |                  39 |     3311 |       1923585
 24893 | Garmadon (voice)                                              |                   1 |     3311 |         15009
 24894 | Cole (voice)                                                  |                   2 |     3311 |         61110
 24895 | Fuchsia Ninja (voice)                                         |                   9 |     3311 |        970287
 24896 | Koko (voice)                                                  |                   4 |     3311 |         81364
 24897 | Chen the Cheerleader (voice)                                  |                  18 |     3311 |         79082
 24898 | Additional Voices (voice)                                     |                  27 |     3311 |       1370749
 24899 | Additional Voices (voice)                                     |                  38 |     3311 |       2136825
 24900 | Additional Voices (voice)                                     |                  37 |     3311 |        144816
 24901 | Additional Voices (voice)                                     |                  42 |     3311 |       2005200
 24902 | Asimov IT Nerd (voice)                                        |                  16 |     3311 |       2136780
 24903 | Robin Roberts (voice)                                         |                  22 |     3311 |       1215522
 24904 | Additional Voices (voice)                                     |                  46 |     3311 |       2136817
 24905 | He                                                            |                   0 |     3312 |          5293
